WifiAccessPoint_0,WifiAccessPoint_1,WifiAccessPoint_2,WifiAccessPoint_3,WifiAccessPoint_4,WifiAccessPoint_5,WifiAccessPoint_6,WifiAccessPoint_7,WifiAccessPoint_8,WifiAccessPoint_9,WifiAccessPoint_10,WifiAccessPoint_11,WifiAccessPoint_12,WifiAccessPoint_13,WifiAccessPoint_14,WifiAccessPoint_15,WifiAccessPoint_16,WifiAccessPoint_17,WifiAccessPoint_18,WifiAccessPoint_19,WifiAccessPoint_20,WifiAccessPoint_21,WifiAccessPoint_22,WifiAccessPoint_23,WifiAccessPoint_24,WifiAccessPoint_25,WifiAccessPoint_26,WifiAccessPoint_27,WifiAccessPoint_28,WifiAccessPoint_29,WifiAccessPoint_30,WifiAccessPoint_31,WifiAccessPoint_32,WifiAccessPoint_33,WifiAccessPoint_34,WifiAccessPoint_35,WifiAccessPoint_36,WifiAccessPoint_37,WifiAccessPoint_38,WifiAccessPoint_39,WifiAccessPoint_40,WifiAccessPoint_41,WifiAccessPoint_42,WifiAccessPoint_43,WifiAccessPoint_44,WifiAccessPoint_45,WifiAccessPoint_46,WifiAccessPoint_47,WifiAccessPoint_48,WifiAccessPoint_49,WifiAccessPoint_50,WifiAccessPoint_51,WifiAccessPoint_52,WifiAccessPoint_53,WifiAccessPoint_54,WifiAccessPoint_55,WifiAccessPoint_56,WifiAccessPoint_57,WifiAccessPoint_58,WifiAccessPoint_59,WifiAccessPoint_60,WifiAccessPoint_61,WifiAccessPoint_62,WifiAccessPoint_63,WifiAccessPoint_64,WifiAccessPoint_65,WifiAccessPoint_66,WifiAccessPoint_67,WifiAccessPoint_68,WifiAccessPoint_69,WifiAccessPoint_70,WifiAccessPoint_71,WifiAccessPoint_72,WifiAccessPoint_73,WifiAccessPoint_74,WifiAccessPoint_75,WifiAccessPoint_76,WifiAccessPoint_77,WifiAccessPoint_78,WifiAccessPoint_79,WifiAccessPoint_80,WifiAccessPoint_81,WifiAccessPoint_82,WifiAccessPoint_83,WifiAccessPoint_84,WifiAccessPoint_85,WifiAccessPoint_86,WifiAccessPoint_87,WifiAccessPoint_88,WifiAccessPoint_89,WifiAccessPoint_90,x,y
-125,-65,-67,-71,null,-71,-74,-48,-91,-39,-79,-51,-59,-55,-78,null,-66,null,null,-70,null,-69,null,-74,-76,-80,null,null,null,-68,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-89,null,null,null,-92,null,null,null,null,null,null,null,null,null,null,null,-86,null,null,null,null,null,null,null,null,-83,-93,null,null,null,null,null,null,null,null,null,null,0.220685553,0.692310942
-121,null,-76,null,-79,-81,-72,-66,-74,-56,null,-71,-67,-45,-58,null,-71,null,-55,-76,null,-81,null,-78,-69,-67,null,-80,null,-70,-73,null,-84,null,null,null,-68,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-89,null,null,null,null,null,null,null,null,null,null,-92,-89,null,null,null,null,null,null,0.356840745,0.707760764
-130,null,-98,null,null,null,null,-75,null,-74,null,-79,null,-62,-51,-76,-83,null,-68,null,null,null,null,null,-87,-79,null,-48,null,-82,-80,-77,-77,null,null,null,null,null,-85,null,null,null,null,null,-97,-90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.271492402,0.395226127
-125,-49,-56,-63,-63,-47,-69,-70,-73,-68,-42,-62,-50,null,null,-67,-67,null,-81,-76,-57,-75,-61,-68,null,null,-77,null,-76,-79,-69,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.413128253,0.860028983
-117,null,-75,-82,null,null,null,null,null,-82,null,-77,null,-76,-71,-67,-70,null,-80,null,null,null,null,null,null,null,null,-76,null,null,-62,-70,-47,null,null,null,-44,-79,-78,-88,-81,null,null,null,-75,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.32479787,0.10717202
-124,-85,-56,-60,-80,null,null,null,null,-71,null,null,-92,-62,-56,-50,-73,null,-62,null,null,null,null,null,null,null,null,-48,null,null,-45,-65,-72,-79,null,null,-68,null,-87,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.496662273,0.340181144
-123,null,-83,-80,null,null,null,null,null,null,null,null,null,-72,-71,null,-72,null,-71,null,null,null,null,null,null,null,null,null,null,null,-57,-68,-79,null,null,null,null,-82,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.648982263,0.288677097
-128,-66,-58,-63,-75,null,-81,null,-77,-71,-82,null,null,-78,-88,-75,-54,null,-81,-83,null,-94,null,null,null,-86,null,null,null,-79,-80,-70,-82,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.71556506,0.581689633
-129,-81,-56,-59,-74,-78,-79,-48,-73,-58,-85,-63,-67,-62,-63,-79,-66,null,-52,-73,null,-83,-79,-84,-71,null,null,-54,null,-60,-84,-89,-76,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-80,null,-70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.354832638,0.609340828
-122,-90,-80,-76,-82,null,null,-84,-80,-74,null,null,null,-74,-62,-70,-77,null,-62,null,null,null,null,null,null,null,null,-64,null,null,-58,-57,-55,null,null,-68,-51,-73,-76,-73,null,null,null,-78,-82,null,null,null,null,null,-89,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.507559166,0.239038308
